Frame,x_tip,y_tip,angle
14544,-1.0,-1.0,-1.0
14545,-1.0,-1.0,-1.0
14546,-1.0,-1.0,-1.0
14547,-1.0,-1.0,-1.0
14548,-1.0,-1.0,-1.0
14549,-1.0,-1.0,-1.0
14550,-1.0,-1.0,-1.0
14551,-1.0,-1.0,-1.0
14552,-1.0,-1.0,-1.0
14553,-1.0,-1.0,-1.0
14554,-1.0,-1.0,-1.0
14555,-1.0,-1.0,-1.0
14556,-1.0,-1.0,-1.0
14557,-1.0,-1.0,-1.0
14558,-1.0,-1.0,-1.0
14559,-1.0,-1.0,-1.0
14560,-1.0,-1.0,-1.0
14561,-1.0,-1.0,-1.0
14562,-1.0,-1.0,-1.0
14563,-1.0,-1.0,-1.0
14564,-1.0,-1.0,-1.0
14565,-1.0,-1.0,-1.0
14566,-1.0,-1.0,-1.0
14567,-1.0,-1.0,-1.0
14568,-1.0,-1.0,-1.0
14569,-1.0,-1.0,-1.0
14570,-1.0,-1.0,-1.0
14571,-1.0,-1.0,-1.0
14572,-1.0,-1.0,-1.0
14573,-1.0,-1.0,-1.0
14574,-1.0,-1.0,-1.0
14575,-1.0,-1.0,-1.0
14576,-1.0,-1.0,-1.0
14577,-1.0,-1.0,-1.0
14578,-1.0,-1.0,-1.0
14579,-1.0,-1.0,-1.0
14580,-1.0,-1.0,-1.0
14581,-1.0,-1.0,-1.0
14582,-1.0,-1.0,-1.0
14583,-1.0,-1.0,-1.0
14584,-1.0,-1.0,-1.0
14585,-1.0,-1.0,-1.0
14586,-1.0,-1.0,-1.0
14587,-1.0,-1.0,-1.0
14588,-1.0,-1.0,-1.0
14589,-1.0,-1.0,-1.0
14590,-1.0,-1.0,-1.0
14591,-1.0,-1.0,-1.0
14592,-1.0,-1.0,-1.0
14593,-1.0,-1.0,-1.0
14594,-1.0,-1.0,-1.0
14595,-1.0,-1.0,-1.0
14596,-1.0,-1.0,-1.0
14597,-1.0,-1.0,-1.0
14598,-1.0,-1.0,-1.0
14599,658.8972705558065,61.37307343818258,21.461529362606292
14600,658.8972705558065,61.37307343818258,21.461529362606292
14601,658.8972705558065,61.37307343818258,21.461529362606292
14602,592.6150858236039,85.49784379512832,21.03433398911603
14603,592.6150858236039,85.49784379512832,21.03433398911603
14604,592.6150858236039,85.49784379512832,21.03433398911603
14605,592.6150858236039,85.49784379512832,21.03433398911603
14606,551.2926331432037,102.26128252226435,21.376479687947423
14607,551.2926331432037,102.26128252226435,21.376479687947423
14608,551.2926331432037,102.26128252226435,21.376479687947423
14609,551.5907265995239,101.88996953812381,21.383222183623076
14610,551.5907265995239,101.88996953812381,21.383222183623076
14611,551.5907265995239,101.88996953812381,21.383222183623076
14612,551.4919806333829,102.62894619640014,21.340129280128064
14613,551.4919806333829,102.62894619640014,21.340129280128064
14614,551.4919806333829,102.62894619640014,21.340129280128064
14615,552.0701610553609,103.11876666215238,21.545268887891375
14616,552.0701610553609,103.11876666215238,21.545268887891375
14617,552.0701610553609,103.11876666215238,21.545268887891375
14618,548.7181129872663,103.85312380245564,21.394885208241107
14619,548.7181129872663,103.85312380245564,21.394885208241107
14620,548.7181129872663,103.85312380245564,21.394885208241107
14621,548.7181129872663,103.85312380245564,21.394885208241107
14622,548.7181129872663,103.85312380245564,21.394885208241107
14623,521.5279535652704,114.06059777400507,21.321453856157795
14624,494.7846263600232,124.35422441260995,21.37224462350323
14625,494.7846263600232,124.35422441260995,21.37224462350323
14626,494.7846263600232,124.35422441260995,21.37224462350323
14627,494.7846263600232,124.35422441260995,21.37224462350323
14628,482.75390630322005,130.00773023486474,21.580542194453244
14629,482.75390630322005,130.00773023486474,21.580542194453244
14630,482.75390630322005,130.00773023486474,21.580542194453244
14631,482.88679440899864,130.13156480455112,21.672277337358235
14632,482.88679440899864,130.13156480455112,21.672277337358235
14633,482.88679440899864,130.13156480455112,21.672277337358235
14634,482.88679440899864,130.13156480455112,21.672277337358235
14635,483.0661503536185,130.50414593689325,21.71454954996845
14636,483.0661503536185,130.50414593689325,21.71454954996845
14637,483.0661503536185,130.50414593689325,21.71454954996845
14638,483.41037920513253,130.63123269566944,21.8275994908064
14639,483.41037920513253,130.63123269566944,21.8275994908064
14640,483.41037920513253,130.63123269566944,21.8275994908064
14641,483.41037920513253,130.63123269566944,21.8275994908064
14642,484.1147961650597,131.63009107232227,22.063590592392757
14643,484.1147961650597,131.63009107232227,22.063590592392757
14644,484.1147961650597,131.63009107232227,22.063590592392757
14645,482.6333606274764,133.00104779634154,22.199245213031247
14646,482.6333606274764,133.00104779634154,22.199245213031247
14647,482.6333606274764,133.00104779634154,22.199245213031247
14648,474.09719394962787,136.72183142962953,22.368008409622156
14649,474.09719394962787,136.72183142962953,22.368008409622156
14650,474.09719394962787,136.72183142962953,22.368008409622156
14651,456.5333311574603,148.2233851106231,23.23689439289649
14652,456.5333311574603,148.2233851106231,23.23689439289649
14653,456.5333311574603,148.2233851106231,23.23689439289649
14654,456.1024824861236,149.00444716740833,23.249703597290733
14655,456.1024824861236,149.00444716740833,23.249703597290733
14656,456.1024824861236,149.00444716740833,23.249703597290733
14657,455.4394777469982,149.9482056419018,23.26709181644658
14658,455.4394777469982,149.9482056419018,23.26709181644658
14659,455.4394777469982,149.9482056419018,23.26709181644658
14660,455.4394777469982,149.9482056419018,23.26709181644658
14661,455.67784454555533,150.4036557834638,23.385041246387637
14662,455.67784454555533,150.4036557834638,23.385041246387637
14663,455.67784454555533,150.4036557834638,23.385041246387637
14664,455.67784454555533,150.4036557834638,23.385041246387637
14665,455.9844786946827,150.35062768526305,23.41271594869428
14666,455.9844786946827,150.35062768526305,23.41271594869428
14667,455.9844786946827,150.35062768526305,23.41271594869428
14668,455.9844786946827,150.35062768526305,23.41271594869428
14669,453.753427687439,151.13953794077787,23.39910845033482
14670,453.753427687439,151.13953794077787,23.39910845033482
14671,453.753427687439,151.13953794077787,23.39910845033482
14672,429.1210032572179,162.35891817621032,23.718836020686844
14673,429.1210032572179,162.35891817621032,23.718836020686844
14674,429.1210032572179,162.35891817621032,23.718836020686844
14675,419.36821732821033,167.33213503562206,23.840764615218326
14676,419.36821732821033,167.33213503562206,23.840764615218326
14677,419.36821732821033,167.33213503562206,23.840764615218326
14678,419.36821732821033,167.33213503562206,23.840764615218326
14679,416.0585529523828,168.2626519354263,23.81372026787962
14680,416.0585529523828,168.2626519354263,23.81372026787962
14681,416.0585529523828,168.2626519354263,23.81372026787962
14682,416.55085887556857,168.70925537169177,23.835412684489533
14683,416.55085887556857,168.70925537169177,23.835412684489533
14684,416.55085887556857,168.70925537169177,23.835412684489533
14685,416.585551657268,168.3116820196241,23.817962646737698
14686,416.585551657268,168.3116820196241,23.817962646737698
14687,416.585551657268,168.3116820196241,23.817962646737698
14688,413.7921653225871,169.54245678170497,23.85919028647788
14689,413.7921653225871,169.54245678170497,23.85919028647788
14690,413.7921653225871,169.54245678170497,23.85919028647788
14691,398.85747813218495,177.0653914867315,24.050910761799855
14692,398.85747813218495,177.0653914867315,24.050910761799855
14693,398.85747813218495,177.0653914867315,24.050910761799855
14694,398.85747813218495,177.0653914867315,24.050910761799855
14695,383.48586426875863,185.82335609763302,24.380955494176675
14696,383.48586426875863,185.82335609763302,24.380955494176675
14697,383.48586426875863,185.82335609763302,24.380955494176675
14698,377.4147631852659,188.0779130987831,24.38725179495454
14699,377.4147631852659,188.0779130987831,24.38725179495454
14700,377.4147631852659,188.0779130987831,24.38725179495454
14701,377.4147631852659,188.0779130987831,24.38725179495454
14702,374.9526770558716,189.27566913345933,24.474913380483038
14703,374.9526770558716,189.27566913345933,24.474913380483038
14704,374.9526770558716,189.27566913345933,24.474913380483038
14705,373.4295283795502,191.02788915166136,24.537495005626024
14706,373.4295283795502,191.02788915166136,24.537495005626024
14707,373.4295283795502,191.02788915166136,24.537495005626024
14708,373.4295283795502,191.02788915166136,24.537495005626024
14709,373.4295283795502,191.02788915166136,24.537495005626024
14710,372.696612558092,191.4226530959009,24.564353040444736
14711,372.696612558092,191.4226530959009,24.564353040444736
14712,372.696612558092,191.4226530959009,24.564353040444736
14713,372.28496848227843,191.62582429625817,24.54400680901354
14714,372.28496848227843,191.62582429625817,24.54400680901354
14715,372.28496848227843,191.62582429625817,24.54400680901354
14716,372.9692583945129,191.96079942257177,24.626812559210812
14717,372.9692583945129,191.96079942257177,24.626812559210812
14718,373.3204310086675,191.34349654197845,24.59791200864118
14719,373.3204310086675,191.34349654197845,24.59791200864118
14720,373.3204310086675,191.34349654197845,24.59791200864118
14721,373.3204310086675,191.34349654197845,24.59791200864118
14722,374.1192865717492,190.60489619568276,24.5395388797494
14723,374.1192865717492,190.60489619568276,24.5395388797494
14724,374.1192865717492,190.60489619568276,24.5395388797494
14725,374.1192865717492,190.60489619568276,24.5395388797494
14726,376.012701862524,189.6995373187896,24.553815448368866
14727,376.012701862524,189.6995373187896,24.553815448368866
14728,376.012701862524,189.6995373187896,24.553815448368866
14729,380.27067410162863,188.17421503476956,24.553645217100016
14730,380.27067410162863,188.17421503476956,24.553645217100016
14731,380.27067410162863,188.17421503476956,24.553645217100016
14732,380.27067410162863,188.17421503476956,24.553645217100016
14733,395.53914076761134,181.6607234911038,24.572855109815702
14734,395.53914076761134,181.6607234911038,24.572855109815702
14735,395.53914076761134,181.6607234911038,24.572855109815702
14736,427.80642773563056,167.39099275329968,24.492838567026634
14737,427.80642773563056,167.39099275329968,24.492838567026634
